NETWORK_SID,DATETIME_KEY,NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,RFInputPower,TID,FarEndTID,SLOT,PORT
169029052,1/21/2021 5:15:00 AM,SOEM1,17246,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT02-TN2-Metro.1,AMM 20PB,-31.3,WT2p,WB1k,1/4+,1
169029052,1/21/2021 5:15:00 AM,SOEM1,17246,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT02-TN2-Metro.1,AMM 20PB,-31.0,WT2w,WB1w,1/6+,1
1192361960,1/21/2021 5:15:00 AM,SOEM1,17266,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-AL0013.1,AMM 2PB,-39.8,P13a,526e,1/2+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-43.5,ET4b,ET1g,1/2+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-47.9,ET4b,ET1g,1/3+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-49.2,ET4f,VT4g,1/14+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-53.9,ET4f,VT4g,1/15+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/8.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-49.2,ET4j,E19b,1/8+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/6.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-43.8,ET4g,E13b,1/6+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/7.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-37.9,ET4h,E26b,1/7+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-40.4,ET4e,E17e,1/4+,1
412322145,1/21/2021 5:15:00 AM,SOEM1,17226,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-ETT04.1,AMM 20PB,-51.4,ET4d,V12b,1/5+,1
311169947,1/21/2021 5:15:00 AM,SOEM1,17301,1/5.1/1,2021-01-21 00:00:00,24,Near End,TN-AN2347.1,AMM 6PC,-41.0,N47d,N93b,1/5+,1
311169947,1/21/2021 5:15:00 AM,SOEM1,17301,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-AN2347.1,AMM 6PC,-43.8,N47e,N74d,1/3+,1
13464537,1/21/2021 5:15:00 AM,SOEM1,17291,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LAT06.1,AMM 6PC,-38.5,eT6d,e15b,1/2+,1
13464537,1/21/2021 5:15:00 AM,SOEM1,17291,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LAT06.1,AMM 6PC,-38.5,eT6c,e15f,1/3+,1
1345011039,1/21/2021 5:15:00 AM,SOEM1,17288,1/2.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0308.1,AMM 2PB,-42.3,e08a,e11f,1/2+,1
1345011039,1/21/2021 5:15:00 AM,SOEM1,17288,1/3.1/1,2021-01-21 00:00:00,24,Near End,TN-LA0308.1,AMM 2PB,-43.2,l08b,eTAb,1/3+,1
1012196640,1/21/2021 5:15:00 AM,SOEM1,17257,1/17.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN3-Metro.1,AMM 20PB,-30.4,WB1l,WT2o,1/17+,1
1012196640,1/21/2021 5:15:00 AM,SOEM1,17257,1/14.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN3-Metro.1,AMM 20PB,-30.4,WB1w,WT2w,1/14+,1
1012196640,1/21/2021 5:15:00 AM,SOEM1,17257,1/15.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN3-Metro.1,AMM 20PB,-30.7,WB1u,WT2u,1/15+,1
1012196640,1/21/2021 5:15:00 AM,SOEM1,17257,1/16.1/1,2021-01-21 00:00:00,24,Near End,TN-OBT01-OBB01-TN3-Metro.1,AMM 20PB,-30.0,WB1k,WT2p,1/16+,1
1038323445,1/21/2021 5:15:00 AM,SOEM1,17295,1/4.1/1,2021-01-21 00:00:00,24,Near End,TN-LAT02-TN1.1,AMM 6PC,-99.9,eT2b,e28c,1/4+,1
